"Sample","Riqueza","Acidobacteriota","Actinobacteriota","Armatimonadota","Bacteroidota","Bdellovibrionota","Chloroflexi","Crenarchaeota","Cyanobacteria","Dependentiae","Desulfobacterota","Elusimicrobiota","Entotheonellaeota","FCPU426","Fibrobacterota","Firmicutes","GAL15","Gemmatimonadota","Latescibacterota","Margulisbacteria","Methylomirabilota","Myxococcota","NB1.j","Nitrospirota","Patescibacteria","Planctomycetota","Proteobacteria","RCP2.54","SAR324.clade.Marine.group.B.","Spirochaetota","Thermoplasmatota","TX1A.33","Verrucomicrobiota","WPS.2"
2,"pasto",0.376345609065156,0.134080551792093,0,0.00207537874122429,7.39007266904791e-05,0.0658948146323439,0.000129326271708338,0.00030176130065279,4.31087572361128e-05,0.000338711663998029,0.000523463480724227,0.000123167877817465,0,0,0.0349242517551423,0.00266658455474812,0.0030853553393275,0,0,0.000628156176869072,0.0101859834955044,0,0,0.0022108634068235,0.00222318019460525,0.29816479862052,0.00450178593422835,0,0,0,0,0.0304286242148048,0.031050621997783
4,"div",0.407903088333968,0.118718604355947,0.000398962696987832,0.00444299367100085,0.000353626026875578,0.0952070072357326,0.000136010010336761,0.000716319387773607,0,0.000525905373302142,0,0,0.000281087354695972,0,0.0130297589902617,0.00364506827702519,0.0050233030484377,0,0,0.0018588034746024,0.0316721977404204,0.000852329398110368,0.00012694267631431,0.00296501822534139,0.00231217017572493,0.247492882142792,0.00565801643000925,0,0,0,0,0.0262045953248826,0.0304753096494569
10,"tri",0.357188531353135,0.139253300330033,0.000340346534653465,0.00646658415841584,0,0.0534137788778878,0,0.000515676567656766,0,0.00234117161716172,0,0,0,0,0.0461530528052805,0.000897277227722772,0.00313531353135314,0.000598184818481848,0,0.00241336633663366,0.018523102310231,0.000433168316831683,0,0.00555899339933993,0.000897277227722772,0.310561056105611,0.00478547854785479,0,0,0.000144389438943894,0,0.0363758250825083,0.0100041254125413
13,"hexa",0.393517295411273,0.121737466862229,0.00041906184806275,0.00411773815922528,0,0.073326713370806,0,0.000446391968588581,0,0,0,0,0.000391731727536918,0,0.0161612112709417,0.00429082892255555,0.0039901975967714,0,0,0.00112964498173437,0.0231941622862557,0.000182200803505543,0,0.00191310843680821,0.00096566425857938,0.297816323369986,0.00414506827975111,0,0,0.00012754056245388,0,0.0180925397881005,0.0340351100948355
16,"tri",0.392446300214379,0.10262158640306,0.000203169443315725,0.00480600821084785,0.00137314520309938,0.13487648699015,0.000203169443315725,0.00153427958917737,7.00584287295605e-05,0.000525438215471703,0.000651543387184912,0,0,0,0.0108800739817007,0.00743319928820636,0.00844204066191204,0,0,0.00253611512001009,0.0272176995614342,0.000686572601549692,0.000889742044865418,0.00268323782034217,0.00132410430298869,0.232579971696395,0.00453978618167552,0,0,6.30525858566044e-05,0.000189157757569813,0.0148593927335398,0.0463646681332231
19,"tri",0.347590560732205,0.177165462865965,0.000441087280145559,0.00275679550090974,0.000261895572586426,0.132064288471081,0,0.000248111595081877,6.89198875227436e-05,0,0.000482439212659205,8.27038650272923e-05,0,0,0.0122677399790484,0.00474168826156476,0.00682306886475161,0,0,0.00151623752550036,0.016554556982963,0,0,0.00384572972376909,0,0.244720736615758,0.00170921321056404,0,0,0,0,0.0100623035783206,0.0365964602745768
25,"mono",0.331199533760093,0.210973557805288,0,0.0025003994999201,8.45999830800034e-05,0.116052376789525,0.000272599945480011,0.000225599954880009,0,0,0,9.39999812000038e-05,0,0,0.0106313978737204,0.00384459923108015,0.00529219894156021,0,0,0.000845999830800034,0.0138837972232406,0.000375999924800015,0,0.00225599954880009,0.000234999953000009,0.24766175046765,0.00273539945292011,0,0,0,0,0.00912739817452037,0.0417077916584417
28,"mono",0.36184698476694,0.13293269687922,0.000551509042846547,0.00427894947036114,0.000408877393834509,0.139189471882548,0.00052298271304414,0.00370842287431299,0.000751193351463401,0,0.000865298670673031,0.000465930053439325,0.000418386170435312,0,0.0127417606450754,0.00454519521518361,0.00623775745012647,0,0,0.000798737234467413,0.0296864005477055,0.000332807181028089,0.000209193085217656,0.000684631915257783,0.00542951143905825,0.229047410760132,0.00741684574862598,0,0,0,0,0.0366848601258962,0.0202441853831086
34,"mono",0.355434143793126,0.147602359548116,0.000805380814522975,0.0053111599660434,0.000653011471234845,0.144544089157833,0.000272088113014519,0.00388541825384733,0.00129513941794911,0,0.000935983108769944,0.000794497290002394,0.000544176226029037,0,0.0137350079449729,0.00467991554384972,0.00793408937550336,0,0,0.000859798437125879,0.0329335451992773,0.000522409176987876,0.000304738686576261,0.000511525652467295,0.00637774536906032,0.202444439607322,0.00797762347358569,0,0,0,0,0.0394854269606669,0.0201562874121155
37,"hexa",0.303866361751133,0.165482250145491,0.000467209285169794,0.00318030180080491,0,0.164982254243818,0.000147539774264145,0.000319669510905648,6.55732330062868e-05,0,0,0.000360652781534578,0,0,0.012057278219031,0.00474586273883001,0.0051556954451193,0.000213113007270432,4.09832706289293e-05,0.00117212153998738,0.0320243276694453,0.000549175826427652,0.000352456127408792,0.000803272104327014,0.00310653191367284,0.262842107851575,0.00316390849255334,0,0,0.000221309661396218,0,0.0185326349784018,0.0161474086277981
