sample,richness,shannon
F90,27,5.271417843561723
F93,29,7.980492180133229
F96,31,7.616647619763697
F99,24,5.586204301290335
F102,25,5.029548996814392
F105,25,5.034015010623738
F108,27,5.927563326836162
P37,23,6.272054590066255
P65,25,6.412716031745037
P154,24,4.948656127223559
P160,26,6.330859100647644
G42,26,6.922103902337828
G45,26,6.653312401340663
G48,25,6.961527176631873
G07,24,7.526731778203692
G27,25,7.5147172655770715
I01,25,6.366038064589407
I03,26,7.343462764271445
I05,25,6.5635894651438855
I08,26,6.97289347831779
I09,24,6.409397589671231
I11,26,6.590324223453042
I13,26,6.600049767339091
I15,27,6.830173885976954
I17,25,6.546548691629221
I19,25,6.269710549832334
I21,23,6.351966409359633
I23,23,6.256958907554513
I25,22,6.558468890035197
I28,23,6.943158920214281
I29,27,6.739867283097619
I31,28,7.431721029518169
I33,27,7.080765264801706
I35,24,6.645251138756597
I39,24,5.909197969563613
I41,29,6.753302229600752
I43,26,6.546489006620186
I46,23,7.036561275860792
I47,24,6.015015372024127
I49,28,6.793547791747875
I51,27,6.87798950823109
I53,28,6.952384232509252
I55,32,7.641213848570963
I57,28,7.206898087544407
I59,21,6.83391784253649
I61,24,6.800968568146221
I63,29,6.98692518541384
II73,27,6.813720276176569
II75,22,5.382902082131985
II77,26,6.227227814022662
III67,28,6.668974942728094
III69,25,6.808848490784944
III71,26,6.792932607379301
IV79,27,6.406387063611433
IV81,26,6.461102654928231
