sample,richness,shannon
F90,172,37.94005250785471
F93,224,64.82808506990025
F96,243,66.47082602207708
F99,161,33.24422918318778
F102,160,31.347837422229173
F105,149,28.679759451492682
F108,157,35.52721584223437
P37,159,43.477247634171704
P65,185,49.829711824359066
P154,175,33.56687409048539
P160,163,37.95974488522162
G42,160,40.735313804975995
G45,156,40.764124655428375
G48,162,39.47867112817432
G07,165,43.07638705964762
G27,177,47.02518336437311
I01,154,37.646672804174024
I03,187,48.84483192160872
I05,153,37.034897300865765
I08,163,44.60639287588144
I09,149,35.13879347445322
I11,157,33.1392736723969
I13,166,39.60919250872584
I15,154,36.14195373080027
I17,157,41.85900535012866
I19,140,37.322641983002576
I21,178,45.59520291471894
I23,164,38.11441973403655
I25,155,38.48773947650785
I28,169,46.53925921489996
I29,184,41.26503507468751
I31,178,49.65801213240937
I33,182,47.685374080097546
I35,167,38.98143994979488
I39,178,46.403669304634825
I41,191,41.907652073845995
I43,164,38.68105090791849
I46,160,41.54645601121129
I47,168,38.99294501826853
I49,182,36.12370277965045
I51,184,43.36063796211624
I53,186,46.268530920059895
I55,235,50.86472914368925
I57,166,34.79044194643018
I59,181,45.582492344645566
I61,157,42.096186020690745
I63,217,55.00264106174749
II73,170,38.58746512834969
II75,176,36.27432460364564
II77,162,37.831282603035845
III67,179,36.82869875813747
III69,171,39.37838093579502
III71,171,41.43309276454366
IV79,189,39.28278826697658
IV81,178,41.59096342053076
