sample,richness,shannon
P66,242,50.28100751361747
I07,219,53.39640629707714
I22,251,49.973693282511306
2,128,36.351618527191405
4,127,40.46428280617312
10,141,49.083046642110425
13,108,36.68312608396674
16,139,39.91922801526397
19,114,37.99093797853699
25,119,40.14915943278854
28,129,43.04671248812245
34,139,45.83290494157524
37,150,39.910388125049444
40,99,30.83771462419598
43,119,40.26198115317816
46,96,34.19136581934099
49,130,50.30399480843579
52,105,49.3879660208104
55,106,37.60963666183194
58,84,32.864671195301916
61,116,37.95395444097677
64,151,45.99212873258606
67,132,42.97878541133492
70,146,39.2911342274172
73,147,46.245556238106836
76,131,40.40276177835301
79,129,38.90068168909811
82,105,44.22449403857916
85,125,50.32688764863806
88,124,35.401102018498456
91,112,36.38861696315564
94,101,42.835770010151606
97,122,49.387084883634095
149,134,40.532957166216164
166,82,34.55140369290266
175,64,31.008025594930917
271,103,30.636111929224768
274,134,55.29198357502828
295,104,31.825286135989096
319,116,38.93409874010495
373,101,40.27499670333651
