sample,richness,shannon
P66,60,12.900072662375239
I07,52,13.258940742688026
I22,60,11.628555233420947
2,40,7.906423629368785
4,36,8.407978016419763
10,39,8.228626535520549
13,39,7.934284882532438
16,44,9.074185772569926
19,37,8.625235167935156
25,34,8.846713332240599
28,45,10.25679515532876
34,48,11.341593463192599
37,47,9.770190500201393
40,36,8.170415526024957
43,37,10.038961029936571
46,28,8.101948089590017
49,39,10.096285073019217
52,33,9.782709281593483
55,38,9.652880968910537
58,27,8.496977362636613
61,32,8.179556497569212
64,45,9.886416069955054
67,44,9.02372780907895
70,44,8.042734849656023
73,41,8.959368922556724
76,43,9.632206235903045
79,39,8.153304547281895
82,34,8.663966117877745
85,36,9.712054520429959
88,43,8.703633839884452
91,35,7.720871061042606
94,33,8.949244374616523
97,40,9.981965600323077
149,42,9.183934269460583
166,31,8.46328857757445
175,25,8.437956972865996
271,36,7.8639983998694865
274,38,9.64542900265493
295,36,8.162611034817907
319,33,7.762714705676905
373,31,8.184609463013734
