test,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),9.57252198569399,6.042465707893801,1.5842079125395065,0.12189293021788881
richness,-2.00893261774823,1.2601432669554051,-1.5942096985543182,0.1196322447452261
