test,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),2549.892961431062,7019.21712631447,0.36327312797772304,0.718468199832769
shannon,587.6847164039369,1049.1659034455388,0.5601446963477718,0.578756711139774
