test,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-1.471791337293996,3.1270093736847953,-0.4706705869447622,0.6406389944651187
shannon,0.04408263836000093,0.05277494963804715,0.8352947499209047,0.40891329639197227
