test,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),5.193947182221003,4.164564379756792,1.2471765852553172,0.22038576670510104
shannon,-0.9305805487888097,0.7372776383337456,-1.2621846919051152,0.21499830786929558
