abiotic,mean,median,max,min,sd,se
al,0.6820512820512821,0.7,1.1,0.2,0.19176712147782798,0.030707315122760467
al+h,473.84615384615387,561,1056,66,299.6405336277329,47.98088545498
ca,0.3564102564102564,0.27,1.16,0.14,0.20883747369271055,0.03344075910773219
k,21.025641025641026,20,44,10,7.069159033908748,1.1319713850543611
mg,0.26794871794871794,0.18,1.1,0.02,0.25493218383243854,0.04082181994258747
mo%,26.46153846153846,28,42,3,11.175269109784935,1.7894752108248813
p,1.1153846153846154,1.1,1.7,0.5,0.2738982345963182,0.043858818636381074
ph_h2O,44.38461538461539,45,51,5,6.714537976876367,1.0751865698913576
saturação_ctc,476.61538461538464,534,799,41,234.87405531975682,37.60994885506656
